Label_Noise_Level,Accuracy,Precision,Recall,F1_Score
0.0,1.0,1.0,1.0,1.0
0.05,0.9793070259865255,0.9834399269798415,0.9793070259865255,0.9803769368570013
0.1,0.9576515880654476,0.9719137834110748,0.9576515880654476,0.9616022521834525
0.15,0.9225216554379211,0.9583631768469699,0.9225216554379211,0.9333170024185197
0.2,0.8907603464870067,0.9498122149223752,0.8907603464870067,0.9092760754336789
0.3,0.7921077959576516,0.9313495245899642,0.7921077959576516,0.8377369049537595
0.4,0.6660250240615977,0.9084263173980198,0.6660250240615977,0.7442304320081865
